TOKEN流信息相关介绍:
数据结构为:1、TOKEN的单词 2、类型 3、在对应符号表中的位置下标 4、在源程序中出现的行数
类型码分别对应类型:1、关键字 2、标识符 3、界符 4、常数 5、字符串 5、字符 
int	1	4	1
main	2	0	1
(	3	27	1
)	3	28	1
{	3	25	2
int	1	4	3
a	2	1	3
,	3	31	3
b	2	2	3
,	3	31	3
c	2	3	3
;	3	24	3
a	2	4	4
=	3	19	4
3	4	0	4
;	3	24	4
a	2	5	5
=	3	19	5
a	2	6	5
<<	3	18	5
2	4	1	5
;	3	24	5
b	2	7	6
=	3	19	6
16	4	2	6
;	3	24	6
b	2	8	7
=	3	19	7
b	2	9	7
>>	3	17	7
1	4	3	7
;	3	24	7
c	2	10	8
=	3	19	8
b	2	11	8
%	3	33	8
6	4	4	8
;	3	24	8
c	2	12	9
=	3	19	9
3	4	5	9
*	3	14	9
(	3	27	9
a	2	13	9
+	3	12	9
b	2	14	9
-	3	13	9
c	2	15	9
)	3	28	9
/	3	15	9
6	4	6	9
%	3	33	9
4	4	7	9
;	3	24	9
cout	1	32	10
<<	3	18	10
c	2	16	10
;	3	24	10
}	3	26	11
#	3	40	12
